participant_id,item_id,classified_as_phishing,action
P08,K1,TRUE,delete
P08,K2,TRUE,delete
P08,K3,TRUE,delete
P08,K4,TRUE,delete
P08,K5,TRUE,delete
P08,K6,TRUE,delete
P08,K7,TRUE,delete
P08,K8,TRUE,delete
P08,K9,TRUE,delete
P08,K10,TRUE,delete
P08,S1,TRUE,report
P08,S2,TRUE,report
P08,S3,TRUE,report
P08,S4,TRUE,report
P08,S5,TRUE,report
P08,S6,FALSE,open
P08,S7,TRUE,report
P08,S8,FALSE,open
P08,S9,FALSE,open
P08,S10,FALSE,open
P09,K1,TRUE,delete
P09,K2,TRUE,delete
P09,K3,TRUE,delete
P09,K4,TRUE,delete
P09,K5,TRUE,delete
P09,K6,TRUE,delete
P09,K7,TRUE,delete
P09,K8,TRUE,delete
P09,K9,TRUE,delete
P09,K10,TRUE,delete
P09,S1,TRUE,report
P09,S2,TRUE,open
P09,S3,TRUE,report
P09,S4,TRUE,report
P09,S5,TRUE,report
P09,S6,FALSE,open
P09,S7,TRUE,report
P09,S8,FALSE,open
P09,S9,FALSE,open
P09,S10,FALSE,open
P10,K1,TRUE,delete
P10,K2,FALSE,open
P10,K3,TRUE,delete
P10,K4,TRUE,delete
P10,K5,TRUE,delete
P10,K6,TRUE,delete
P10,K7,TRUE,delete
P10,K8,TRUE,delete
P10,K9,TRUE,delete
P10,K10,TRUE,delete
P10,S1,FALSE,open
P10,S2,TRUE,report
P10,S3,FALSE,open
P10,S4,TRUE,report
P10,S5,FALSE,open
P10,S6,FALSE,open
P10,S7,FALSE,open
P10,S8,FALSE,open
P10,S9,FALSE,open
P10,S10,FALSE,open
P11,K1,FALSE,open
P11,K2,TRUE,delete
P11,K3,FALSE,open
P11,K4,TRUE,delete
P11,K5,TRUE,delete
P11,K6,FALSE,open
P11,K7,TRUE,delete
P11,K8,FALSE,open
P11,K9,TRUE,delete
P11,K10,FALSE,open
P11,S1,TRUE,report
P11,S2,TRUE,report
P11,S3,TRUE,report
P11,S4,TRUE,report
P11,S5,TRUE,report
P11,S6,FALSE,open
P11,S7,FALSE,open
P11,S8,FALSE,open
P11,S9,FALSE,open
P11,S10,TRUE,report
P12,K1,TRUE,delete
P12,K2,TRUE,delete
P12,K3,TRUE,delete
P12,K4,FALSE,open
P12,K5,TRUE,delete
P12,K6,TRUE,delete
P12,K7,TRUE,delete
P12,K8,TRUE,delete
P12,K9,TRUE,delete
P12,K10,TRUE,delete
P12,S1,TRUE,report
P12,S2,TRUE,report
P12,S3,TRUE,report
P12,S4,TRUE,report
P12,S5,FALSE,open
P12,S6,FALSE,open
P12,S7,FALSE,open
P12,S8,FALSE,open
P12,S9,FALSE,open
P12,S10,FALSE,open
P13,K1,TRUE,delete
P13,K2,TRUE,delete
P13,K3,TRUE,delete
P13,K4,TRUE,delete
P13,K5,TRUE,delete
P13,K6,TRUE,delete
P13,K7,TRUE,delete
P13,K8,TRUE,delete
P13,K9,TRUE,delete
P13,K10,TRUE,delete
P13,S1,TRUE,report
P13,S2,TRUE,report
P13,S3,TRUE,open
P13,S4,TRUE,report
P13,S5,TRUE,report
P13,S6,FALSE,open
P13,S7,FALSE,open
P13,S8,FALSE,open
P13,S9,FALSE,open
P13,S10,TRUE,report
P14,K1,TRUE,delete
P14,K2,TRUE,delete
P14,K3,TRUE,delete
P14,K4,FALSE,open
P14,K5,TRUE,delete
P14,K6,TRUE,delete
P14,K7,TRUE,delete
P14,K8,TRUE,delete
P14,K9,TRUE,delete
P14,K10,TRUE,delete
P14,S1,TRUE,report
P14,S2,TRUE,open
P14,S3,TRUE,report
P14,S4,TRUE,report
P14,S5,TRUE,report
P14,S6,FALSE,open
P14,S7,TRUE,report
P14,S8,TRUE,report
P14,S9,TRUE,report
P14,S10,FALSE,open
P15,K1,TRUE,delete
P15,K2,TRUE,delete
P15,K3,TRUE,delete
P15,K4,TRUE,delete
P15,K5,TRUE,delete
P15,K6,TRUE,delete
P15,K7,TRUE,delete
P15,K8,FALSE,open
P15,K9,TRUE,delete
P15,K10,TRUE,delete
P15,S1,TRUE,report
P15,S2,TRUE,report
P15,S3,TRUE,open
P15,S4,TRUE,open
P15,S5,FALSE,open
P15,S6,FALSE,open
P15,S7,TRUE,report
P15,S8,FALSE,open
P15,S9,FALSE,open
P15,S10,FALSE,open
P16,K1,FALSE,open
P16,K2,FALSE,open
P16,K3,TRUE,delete
P16,K4,TRUE,delete
P16,K5,TRUE,delete
P16,K6,TRUE,delete
P16,K7,TRUE,delete
P16,K8,TRUE,delete
P16,K9,FALSE,open
P16,K10,FALSE,open
P16,S1,TRUE,report
P16,S2,TRUE,report
P16,S3,TRUE,report
P16,S4,FALSE,open
P16,S5,TRUE,report
P16,S6,FALSE,open
P16,S7,FALSE,open
P16,S8,FALSE,open
P16,S9,FALSE,open
P16,S10,FALSE,open
